date,version,benchmark,time_ns
2026-06-02,2.4.2,polynesian/all_12,6
2026-06-02,2.4.2,slavic/all_12,6
2026-06-02,2.4.2,jain/all_24,14
2026-06-02,2.4.2,sikh/all_10,9
2026-06-02,2.4.2,incarnate/all_hindu,11
2026-06-02,2.4.2,incarnate/all_buddhist,10
2026-06-02,2.4.2,incarnate/all_mystic,12
2026-06-02,2.4.2,incarnate/all_taoist,12
2026-06-02,2.4.2,incarnate/all_51,21
2026-06-02,2.4.2,finnish/all_14,12
2026-06-02,2.4.2,vodou/all_14,11
2026-06-02,2.4.2,registry/all_profiles,24
2026-06-02,2.4.2,registry/lookup_by_name,2000
2026-06-02,2.4.2,registry/query_courage_0.9,5000
2026-06-02,2.4.2,registry/by_tradition,18000
2026-06-02,2.4.2,compose/three_traditions,2000
2026-06-02,2.4.2,history/context_for_tradition,226
2026-06-02,2.4.2,history/context_all_traditions,23000
2026-06-02,2.4.2,history/traditions_for_civ,4000
2026-06-02,2.4.2,history/traditions_for_era,4000
2026-06-02,2.4.2,history/traditions_active_at,1000
2026-06-02,2.4.2,history/query_civilization,59000
2026-06-02,2.4.2,affinity/score_pair,196
2026-06-02,2.4.2,affinity/similar_to_5,569000
2026-06-02,2.4.2,affinity/cross_tradition_match,51000
2026-06-02,2.4.2,affinity/detect_conflicts,729
2026-06-02,2.4.3,kabbalah/single_profile,198
2026-06-02,2.4.3,kabbalah/all_10,9
2026-06-02,2.4.3,angelic/all_archangels,7
2026-06-02,2.4.3,angelic/all_orders,9
2026-06-02,2.4.3,hindu/all_trimurti,6
2026-06-02,2.4.3,hindu/all_devas,9
2026-06-02,2.4.3,hindu/all_avatars,8
2026-06-02,2.4.3,olympian/all_15,9
2026-06-02,2.4.3,norse/all_13,9
2026-06-02,2.4.3,egyptian/all_16,9
2026-06-02,2.4.3,buddhist/all_12,10
2026-06-02,2.4.3,mesopotamian/all_14,8
2026-06-02,2.4.3,celtic/all_15,11
2026-06-02,2.4.3,shinto/all_15,10
2026-06-02,2.4.3,aztec/all_14,8
2026-06-02,2.4.3,maya/all_12,8
2026-06-02,2.4.3,yoruba/all_14,9
2026-06-02,2.4.3,zoroastrian/all_14,9
2026-06-02,2.4.3,taoist/all_immortals,19
2026-06-02,2.4.3,taoist/all_deities,8
2026-06-02,2.4.3,polynesian/all_12,8
2026-06-02,2.4.3,slavic/all_12,7
2026-06-02,2.4.3,jain/all_24,13
2026-06-02,2.4.3,sikh/all_10,9
2026-06-02,2.4.3,incarnate/all_hindu,9
2026-06-02,2.4.3,incarnate/all_buddhist,8
2026-06-02,2.4.3,incarnate/all_mystic,10
2026-06-02,2.4.3,incarnate/all_taoist,7
2026-06-02,2.4.3,incarnate/all_51,11
2026-06-02,2.4.3,finnish/all_14,14
2026-06-02,2.4.3,vodou/all_14,11
2026-06-02,2.4.3,registry/all_profiles,22
2026-06-02,2.4.3,registry/lookup_by_name,2000
2026-06-02,2.4.3,registry/query_courage_0.9,5000
2026-06-02,2.4.3,registry/by_tradition,17000
2026-06-02,2.4.3,compose/three_traditions,2000
2026-06-02,2.4.3,history/context_for_tradition,213
2026-06-02,2.4.3,history/context_all_traditions,21000
2026-06-02,2.4.3,history/traditions_for_civ,3000
2026-06-02,2.4.3,history/traditions_for_era,3000
2026-06-02,2.4.3,history/traditions_active_at,842
2026-06-02,2.4.3,history/query_civilization,45000
2026-06-02,2.4.3,affinity/score_pair,91
2026-06-02,2.4.3,affinity/similar_to_5,549000
2026-06-02,2.4.3,affinity/cross_tradition_match,49000
2026-06-02,2.4.3,affinity/detect_conflicts,722
